step,eval_return,actor_loss,critic_loss,alpha,elapsed_sec
2000,-1136.2282187008168,82.71356201171875,84.021484375,0.1636036853195313,11.716
4000,-732.4185537627666,156.18096923828125,1424.7098388671875,0.23171079057237487,36.631
6000,-125.19439335829634,151.9975128173828,1074.919189453125,0.43259037641137643,60.36
8000,-124.33963499831471,126.57313537597656,1056.84912109375,0.6454387909700313,84.854
10000,-123.91038985428028,109.49562072753906,109.75578308105469,0.6400359674423093,109.456
12000,-123.75688058343303,72.87438201904297,1582.29833984375,0.4735043162319666,133.977
14000,-123.55607863926866,57.33085632324219,127.88965606689453,0.3579712875675243,157.884
16000,-123.27948558187457,51.73005676269531,40.686378479003906,0.3168599508160106,181.64
18000,-122.97783972311063,41.682857513427734,95.80148315429688,0.25203626720801064,205.908
20000,-123.32849460754687,44.01055145263672,41.55076599121094,0.22060202025448178,229.999
22000,-98.44703879552958,31.39434051513672,40.65605163574219,0.21346659628246437,253.68
24000,-123.39397082399675,34.54286193847656,411.75433349609375,0.20509979593350824,278.837
26000,-98.06355720962215,34.0455322265625,45.006797790527344,0.17621535495211318,303.224
28000,-98.42481847754317,33.827598571777344,27.121585845947266,0.17181948212480427,328.075
30000,-98.08656382077392,28.69569206237793,322.5115051269531,0.14720307361569676,352.526
